gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
HSD11B1,370.45939968398443,-0.8204700278841148,0.16447164546585416,-4.98851960506744,6.084373780078229e-7,1.857694081769283e-6,ENSG00000117594.10,3290,1
IRF6,3324.0948790542957,0.5536657452829088,0.10418879078463358,5.314062492839363,1.072078249469105e-7,3.582856242721214e-7,ENSG00000117595.12,3664,8
SERPINC1,7.424448137718637,0.4306402395938549,0.23120496012165395,1.8625908344148991,0.06251985486268613,0.08860195584338723,ENSG00000117601.14,462,8
RCAN3,1498.0457984418865,0.22513632297384817,0.06751618253632738,3.3345535028244906,8.543646272887296e-4,0.0016968075039480138,ENSG00000117602.13,11123,6
SYF2,2350.124462987841,-0.07204893918000813,0.054063457685372934,-1.332673533374489,0.1826389623443043,0.23319122293606498,ENSG00000117614.10,25949,2
SLC35A3,1899.8884592998209,0.28582741219238034,0.10119780294677758,2.824442862091621,0.0047362892165752615,0.008298240164645834,ENSG00000117620.15,23443,2
RCOR3,1949.0937002286864,0.20675867114354782,0.07614844516067468,2.715205421558944,0.00662346721648383,0.011313611437051178,ENSG00000117625.14,55758,4
STMN1,6416.382018335056,1.015995517152929,0.14022787829414737,7.245317618096865,4.3142697011342354e-13,2.4456843387094057e-12,ENSG00000117632.23,3925,4
MAN1C1,766.7788764873914,-0.713826350194226,0.12375063750628537,-5.768264023350751,8.009226049984673e-9,3.020754585677788e-8,ENSG00000117643.14,57134,2
NEK2,675.841174197441,3.728667267784307,0.16885760351918866,22.08172560829094,4.7365307554343496e-108,5.566506273236603e-105,ENSG00000117650.13,4751,2
RPS6KA1,4456.274850026175,-0.5856141260629905,0.07837250404509094,-7.472188533443597,7.887189275789994e-14,4.745812704521209e-13,ENSG00000117676.14,6195,2
DHDDS,1863.4597258518424,0.34076462611991326,0.05293655710509374,6.437226838220721,1.2167602651477593e-10,5.538231712550934e-10,ENSG00000117682.17,79947,1
NENF,2904.7646449423887,0.37979854762443804,0.10505343664905283,3.6152891303614707,3.000125962207159e-4,6.38407559252287e-4,ENSG00000117691.10,29937,2
NSL1,1623.1029004401119,0.30814194881768897,0.0782971669304332,3.9355440419890564,8.300843922644253e-5,1.9239229901962362e-4,ENSG00000117697.15,25936,8
PROX1,408.62981619791566,1.0049447522831447,0.2325116255198295,4.322126904563914,1.545322572999546e-5,3.9593717076859546e-5,ENSG00000117707.16,5629,6
ARID1A,6279.976484690019,0.2109626233584033,0.07358150860531154,2.867060316607518,0.004143040435822536,0.007341706110920575,ENSG00000117713.20,8289,4
CENPF,2334.733981557437,3.4851601699224237,0.1616356466903626,21.561828973275755,4.1007702343100604e-103,3.182584566941051e-100,ENSG00000117724.13,1063,1
RPA2,2282.4122081446317,0.2595049337833728,0.0724058748049167,3.5840314682000254,3.383312969656676e-4,7.1446920522984e-4,ENSG00000117748.10,6118,2
PPP1R8,1896.122024009625,0.20308144111527088,0.05499620232952805,3.6926448102441842,2.2193389143185764e-4,4.820110225601457e-4,ENSG00000117751.18,5511,2
SLC5A9,146.10591440911517,-2.504526465049105,0.22428294606004365,-11.166816331985439,5.926724280630722e-29,1.0480823294719841e-27,ENSG00000117834.13,200010,1
OSBPL9,5048.731014569121,-0.02677506597235645,0.06283065983937978,-0.42614650300990303,0.6700010964621337,0.7260625207676303,ENSG00000117859.19,114883,5
TXNDC12,271.0773618838473,0.28373785720843314,0.08761439611051386,3.238484424985772,0.0012016658189542468,0.0023305257263918637,ENSG00000117862.13,51060,2
RCN2,3211.576807124919,0.34050717132947084,0.08394279713517942,4.056419168176234,4.9830796813061254e-5,1.1922348565098001e-4,ENSG00000117906.14,5955,6
