gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata
LTF,3127.4657187354483,-1.770806917720289,0.42469788603297876,-4.169568476690703,3.0517691489561235e-5,6.939784696628224e-5,ENSG00000012223.13,4057,8
EXTL3,3293.4889394278084,0.41623257307109346,0.12399648490484406,3.356809456256069,7.884743063791404e-4,0.0014750020245838855,ENSG00000012232.9,2137,4
NR1H4,477.4077236157438,-3.731387917637123,0.5413861210518096,-6.892285879785301,5.4902896017534494e-12,2.7555241605661463e-11,ENSG00000012504.15,9971,8
ELOVL5,2515.296870887014,0.17103789089060217,0.18545111506016193,0.9222801967791675,0.35638244084583826,0.41169779424641767,ENSG00000012660.14,60481,8
ALOX5,442.23087140681156,-0.608681133366303,0.3099944401384339,-1.9635227428417261,0.049585464502880316,0.06891128236335399,ENSG00000012779.11,240,2
KDM5D,736.1919372954965,-0.4758961131674747,0.8339398212399036,-0.5706600177215561,0.5682301262079072,0.6189256843790338,ENSG00000012817.16,8284,2
CALCOCO1,5963.529910211593,-0.3407606548803757,0.09239223149913323,-3.6881959592411464,2.2584968843805835e-4,4.5547055198046435e-4,ENSG00000012822.16,57658,8
UBR7,2999.1562840408287,0.6825583764966344,0.08966850461742931,7.612019174500231,2.6984651404598628e-14,1.722720224992763e-13,ENSG00000012963.15,55148,2
EHD3,1066.9510210990245,-2.7708868596055876,0.2711575206230035,-10.218735048319072,1.6345993488724687e-24,2.651254194617876e-23,ENSG00000013016.16,30845,2
PSMC4,4969.698807574529,0.161829978009922,0.07040307580889861,2.2986208507308916,0.021526478499344803,0.03204828226907534,ENSG00000013275.8,5704,2
MAN2B2,4224.07312380682,0.27613176594822836,0.11062570285261465,2.496090500018025,0.01255705603285739,0.0194821983581784,ENSG00000013288.9,23324,8
SLC7A14,22.27248080594216,-0.5952929064743476,0.6589782633852805,-0.9033574239857766,0.3663362287776915,0.42167325810017253,ENSG00000013293.6,57709,4
CLDN11,251.51630559023081,-1.7073614599133375,0.434519531756558,-3.929308892079669,8.519035005296904e-5,1.8240444653736603e-4,ENSG00000013297.12,5010,8
SLC25A39,25868.335682898723,1.3985866616380693,0.14956528803369817,9.351011053600601,8.681383679177573e-21,1.021332851654415e-19,ENSG00000013306.16,51629,2
MVP,12212.993696931278,0.5751412620278001,0.14022580811011276,4.10153644168104,4.1041585394840515e-5,9.18012284076152e-5,ENSG00000013364.19,9961,2
NUB1,4399.643869716192,0.4483245866511645,0.07255210263171075,6.179346571483275,6.436745428478715e-10,2.5832352125330787e-9,ENSG00000013374.16,51667,2
RWDD2A,391.05870485991596,-0.8994087659037888,0.11128210052961417,-8.08224109379064,6.358723527290423e-16,4.815415467747034e-15,ENSG00000013392.8,112611,6
CLK1,2844.877566465563,-0.3892134089073627,0.15183496667444338,-2.563397729996502,0.010365323288193097,0.016303759580405898,ENSG00000013441.16,1195,2
POLR3B,1048.459843210717,0.34501419760325736,0.11427997976005176,3.019025714982338,0.002535890060912515,0.0043977618909311076,ENSG00000013503.10,55703,1
