gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,Entrez,Phylostrata,cancer_median,normal_median
RPN2,28867.9253181874,0.4872240840337464,0.16655630778189234,2.925281489019153,0.0034414477027781202,0.017196437736490273,ENSG00000118705.17,6185,2,26684.204933476238,21066.15405597834
TGIF2,2371.4016179669043,1.0341375583743582,0.2316833929919776,4.463580859290017,8.060116128890684e-6,1.1757321755980751e-4,ENSG00000118707.11,60436,9,2085.34629399368,1145.2147882010238
CASQ2,452.66966635847126,-3.9152777291491097,0.6165222426775007,-6.350586334315223,2.1449578891927552e-10,1.1819562190538318e-8,ENSG00000118729.12,845,4,52.651486666335956,350.5495734792742
OLFM3,10.609645211354595,-2.709252378601923,1.0628894455739224,-2.5489503069992603,0.010804769492541347,0.04213693467707225,ENSG00000118733.17,118427,7,0,12.649756355714667
PKD2,2336.1336546934976,-0.8007135334841917,0.21224809775040338,-3.7725357351650044,1.61596812798344e-4,0.001438840884129083,ENSG00000118762.8,5311,2,2024.9302737413732,2258.3452250852447
ABCG2,389.63751621590984,-0.026669758192969063,0.38869820187106735,-0.06861302178551246,0.9452976534099686,0.9691499051940788,ENSG00000118777.12,9429,1,199.13798790869652,363.5131163740938
SPP1,16780.146149066655,5.36573959134567,0.5946226662428328,9.023772378623727,1.8172134556419174e-19,7.439844955346167e-17,ENSG00000118785.14,6696,9,4977.746729154074,248.12264874024726
CCNI,27169.89649655928,-0.8148833026055349,0.14282107194531743,-5.705623767601556,1.1591779047656371e-8,4.0089090724107166e-7,ENSG00000118816.11,10983,2,24143.643497630866,46528.68327031236
RARRES1,1732.8249046358062,2.1182891391746215,0.48021134424450246,4.4111601372250835,1.0281823961802515e-5,1.4453729511771304e-4,ENSG00000118849.10,5918,9,786.7964812301907,299.79386321656585
MFSD1,5110.925084483766,0.11110886587526331,0.17272337651394123,0.6432763654680826,0.5200447892948951,0.6759292919576994,ENSG00000118855.21,64747,2,4879.832891565524,4372.59911362537
RAB3GAP2,5588.408610518815,0.18742287786335213,0.11303069010368244,1.6581591927947192,0.09728533892523944,0.21881777577906894,ENSG00000118873.16,6791,2,5416.714662574734,4558.826105020568
